"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.681213785596047","","","","","","",
"Afghanistan","AFG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0556419970246972","0.0561637905978436","0.0429732033547261","0.0523412901839556","0.0598041439704826","0.0705650305721907","0.123571169902027","0.163094846346473","0.185784546266415","0.248092400942727","0.1870484705923","0.164963550911453","0.154880022383175","","","",
"Angola","AGO","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.147976952681367","0.144222232377153","0.15462300373528","0.222934788694072","0.142078030676257","0.355618525189235","0.299271675142142","0.192472349974383","0.176503547843589","0.210970516869139","0.208665514747781","0.199665561720345","0.275009298791505","0.183352519451031","0.333656869692922","0.278619976430246","0.260234806732645","0.23357246543142","0.205729430510313","0.215520261687416","0.215276118361498","0.211932896826287","0.217844697575243","0.196013316754057","0.196202179079723","","","",
"Albania","ALB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.616434181109836","0.658555954309087","0.407160367765462","0.336944419420299","0.251075473414136","0.235267821824324","0.204706401972561","0.172782698421465","0.174560304743676","0.260159004963384","0.242782467288324","0.236319899843256","0.258597321245974","0.276202163104528","0.249179284225411","0.237678912941165","0.196412641781706","0.181359398462093","0.180390171152893","0.16969901676599","0.163797552510385","0.176700264745241","0.160827430305138","0.165473356939328","0.175745343936013","","","",
"Andorra","AND","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.442174995087823","0.470145456034001","0.470614917860649","0.492038482826514","0.480643991830212","0.440507594337483","0.411558518197655","0.375044978939486","0.382204988183812","0.373230304959773","0.394783196310332","0.377377690100907","0.377172437778873","0.381116475352049","0.372222305674871","0.35933396644001","0.344270057309024","0.315688092903885","0.320943776985879","0.334408534218204","0.328033069140786","0.314121436426141","0.318495770596995","0.299100468088702","0.30562210457921","","","",
"United Arab Emirates","ARE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.389479860474007","0.409660419047343","0.395219360650338","0.432661163702997","0.439265781434451","0.389586079283058","0.210195175241961","0.193742944115073","0.373964531703297","0.344233546140409","0.436065274677494","0.378825317205873","0.30421783601846","0.345792448163047","0.325550781153281","0.308522364941402","0.290646091826872","0.300405884868102","0.331251360714982","0.370327170371037","0.344654165485159","0.326629745986373","0.325334454365629","0.29289517340122","0.345624177905298","","","",
"Argentina","ARG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.490158857375309","0.439611590802399","0.397913279909321","0.35663051564303","0.342480363097565","0.360979841479769","0.354415748787188","0.329479532118087","0.31797796093125","0.340780665702572","0.324771696532999","0.312512607903572","0.32215520743614","0.314291211398923","0.327339078825242","0.299704914408506","0.291237419992221","0.259859313541762","0.264400405776296","0.265426514390766","0.248642580325557","0.234357748282614","0.233381794924801","0.221357758881977","0.240187382908805","","","",
"Armenia","ARM","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25358319023626","0.588918509531971","0.579285654300523","0.668924110470912","0.466401836595346","0.560005962059974","0.53679178793051","0.458788222320692","0.48697267851599","0.444247662269074","0.332135995910317","0.321672818180166","0.301281604773133","0.306118847491606","0.26413543158133","0.26139493230827","0.263262066791725","0.238695845566495","0.223171035011375","0.243526837343527","0.258325680497061","0.237541549955027","0.227046713857631","","","",
"American Samoa","ASM","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.399856897300599","0.359057447222538","0.342281265552547","0.326380489019391","0.2955305757072","0.310981207956544","0.305583047133243","0.299098940454739","0.292610882383168","0.287479016122194","0.27516234040682","0.286065308979287","0.296497928400533","0.298521113237011","0.287259756075589","0.266082694739745","0.236832092163646","0.223356884898233","0.224261571758288","0.26869587846181","0.294281023362199","0.288272838607118","0.279329308072853","0.275175833423152","0.261316722612814","","","",
"Australia","AUS","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.889565906984203","0.848562879938264","0.840096652518595","0.818940156288297","0.773695038236682","0.744213985498128","0.748525717049364","0.717860976841024","0.698973541438401","0.679475601126087","0.65294625714392","0.610758969175032","0.604877836896853","0.568820658897809","0.542512093860029","0.526810624704946","0.513336698933055","0.48825893121695","0.484200836470342","0.45200224123856","0.452257975517143","0.419768276919859","0.400712393949295","0.352671159082569","0.33003059692018","","","",
"Austria","AUT","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.386236172650859","0.385913875805535","0.339899676108884","0.332846998656451","0.318000122799843","0.317916601894164","0.32368479945284","0.309442556511538","0.299443015612462","0.280409880763371","0.264652003711709","0.275480363330284","0.266179076463326","0.27687763370512","0.262430045775068","0.257618188866521","0.231936446697671","0.213438123837395","0.200770906404414","0.183746509783435","0.19195484886017","0.174300517110537","0.159007731487865","0.153765297604336","0.140812075094434","","","",
"Azerbaijan","AZE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75770070108948","1.92339112863824","2.03187468318593","1.79199059954713","1.62910493588298","1.44373337902075","1.37969335054299","1.14149496701647","1.03733152044624","0.899804440994326","0.824754528611595","0.75176691324733","0.695895747129928","0.570751299785011","0.469605646197214","0.28494273355136","0.293583062822428","0.239298422484537","0.216810301045051","0.231442466293471","0.236382414301155","0.220424029628237","0.223720892420424","","","",
"Burundi","BDI","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0549127128855862","0.0577184961522032","0.0507108029223948","0.0555150293427321","0.0583463711103224","0.0630401314870524","0.0683286881421675","0.0703329370026297","0.0664227581810392","0.0670609955255949","0.0709280921387805","0.0514222187326404","0.0502204384203178","0.0378161827086947","0.0430861193267725","0.0321771686347005","0.0359707503850088","0.0334379788307584","0.0318308482391979","0.0305319575139671","0.0324167006274705","0.0346877941447481","0.0382016510574167","0.0368768358760666","0.0526815987384007","","","",
"Belgium","BEL","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.566880554881967","0.563688445681559","0.547749682600291","0.519392442425436","0.514101549959061","0.491836353391269","0.507898733111237","0.473683605168645","0.472699894602601","0.435727039059904","0.401288924303208","0.384151780756481","0.340700340211826","0.350422076349007","0.330587773426967","0.310671128243654","0.286826622853337","0.264327753977663","0.255732739832783","0.243398186800168","0.253709378176628","0.21931733578797","0.20178379351578","0.199250844121774","0.186617123051007","","","",
"Benin","BEN","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.150371364692149","0.162054253938326","0.168318097204991","0.195919241957873","0.209944881741134","0.203488066473553","0.182560693838216","0.163357358375046","0.15497808735517","0.186490558528192","0.176291018607375","0.185784323854881","0.200287726705889","0.21494430788627","0.213423695297124","0.194077597084714","0.292935698236748","0.312565704200906","0.286768634859886","0.293879031152894","0.310486686161958","0.307372719463675","0.297533530123126","0.290182815384068","0.291941057109244","","","",
"Burkina Faso","BFA","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.121256860676702","0.115712393013696","0.113530859245529","0.106559287572204","0.105995808929295","0.0954256366947428","0.0952771646388945","0.100434306068533","0.0989027762553609","0.0980296369837183","0.105253415556711","0.0924461688301212","0.0878919932236905","0.0857714252881165","0.0818001910455596","0.0743866736999818","0.0820818237646367","0.0915845972699189","0.0975132520836387","0.0947130481334881","0.0901467295010957","0.0933623144680227","0.102397567018785","0.110795834846706","0.0973908243195961","","","",
"Bangladesh","BGD","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.175727180794608","0.168645241066647","0.174110331478005","0.159291199660844","0.163604544401754","0.183369646487506","0.181455150157601","0.178083333420172","0.160711688330652","0.158698230174194","0.162741605701577","0.176352832059981","0.173719226442389","0.172097988150645","0.168217148623097","0.160175822654695","0.160674850421795","0.149009951335496","0.153787589146341","0.157694936437501","0.164598710211193","0.160262622242344","0.157263505790907","0.150751087545569","0.146891510917439","","","",
"Bulgaria","BGR","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64579950391379","1.34424585957366","1.33499724679213","1.65700676441943","1.27180994534826","1.29712300295314","1.20271530555823","1.09211595866252","0.98767099760656","0.931365985445709","0.83583913248467","0.835256472470698","0.733337977956028","0.726129345679819","0.661087717249557","0.608879617260126","0.566732139463775","0.536822743989209","0.472616431164068","0.405214262887262","0.399027625850918","0.428382164937972","0.377552767253398","0.327730147280207","0.335350538619903","","","",
"Bahrain","BHR","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10416203418463","0.918184753555354","0.772327535220392","0.897667240992114","0.889991785828686","0.840506203369209","0.835819348722659","0.883733901319109","0.886570134924064","0.81969254801536","0.787446997584465","0.561175658479599","0.601248110782813","0.583274114596115","0.564177723493264","0.561576860650626","0.501673222384679","0.643347787170702","0.658534802325695","0.604171502636557","0.593347679670873","0.558037286153917","0.491787795608548","0.538945690807194","0.508797258914113","","","",
"Bahamas, The","BHS","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.484935338194412","0.447445569894582","0.457682627271319","0.422889421406971","0.397975751313427","0.372678686366653","0.348105356974302","0.274161887643174","0.318879642186293","0.292491581394615","0.27338881331718","0.245002906159235","0.236042168648271","0.225670278051393","0.247157468697396","0.234053319983224","0.211709287517769","0.206414834915677","0.183432527357863","0.208620259191893","0.204322298844811","0.224559824248893","0.225676613476871","0.317773616085854","0.273198104532615","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86183610754063","0.741700616234182","0.478660903640325","0.690408095904394","0.745696299620328","0.656439287294786","0.808298583702139","0.748280060263038","0.740596615544958","0.7167597017225","0.706827816580328","0.664038310442398","0.629662568316099","0.573106329861651","0.594566986796575","0.613788453648466","0.613655906567471","0.653973389458365","0.599227271513037","0.561694364899994","0.558456133037816","","","",
"Belarus","BLR","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68339899960641","1.56274469288197","1.46854435313856","1.49981357710657","1.41845458235525","1.23920671278422","1.10326216885457","1.0149526654836","0.899106482645505","0.823385029328405","0.766782795372234","0.717412901036841","0.680642843940583","0.613216497084361","0.567401321184972","0.496236995304039","0.46048018331851","0.442474564531692","0.417602217487416","0.393932384510189","0.375239978496209","0.368692143299953","0.355245048945521","","","",
"Belize","BLZ","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.497845067324831","0.502725048329321","0.434240889531909","0.42378610180752","0.41027862074149","0.403239765050684","0.318410718629963","0.381517356972243","0.346650431255579","0.295221291503109","0.290301137540149","0.305312567831428","0.276675785629797","0.248125096402094","0.209242854593508","0.212399462053564","0.207319353670945","0.214595811815867","0.186633053084013","0.247280470755378","0.217226086833417","0.232552327421556","0.174338043007799","0.18236823572064","0.167241004454894","","","",
"Bermuda","BMU","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.323075701182638","0.347782991432567","0.291630035502896","0.322621793013807","0.30974383076644","0.290630306336429","0.276267141747813","0.257870118972713","0.243809129490623","0.229005671066963","0.206289582049336","0.192109549347222","0.202712065815387","0.193458169672064","0.191225677874854","0.182213897228445","0.187512209257137","0.198549487372974","0.170595231737671","0.131289113229173","0.169165783309532","0.124987185666007","0.138553334333957","0.134484075858703","","","","",
"Bolivia","BOL","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.350442399736483","0.33614018609973","0.358262974847365","0.394779641925169","0.407372311691802","0.434795686278776","0.408241908063969","0.425805901608594","0.402810782211426","0.375412364198112","0.379454028898842","0.284220072350181","0.329364032230418","0.335471189260003","0.314035488908498","0.319432843920168","0.365407501066044","0.278801493153316","0.276518679478784","0.280599046941487","0.289325442106768","0.286152881175826","0.311115335260353","0.288589277319527","0.290605234580412","","","",
"Brazil","BRA","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.209183932561249","0.209401059362229","0.206984089090559","0.201943330681861","0.197008339208204","0.197179731884042","0.208848917236214","0.209585612795933","0.214709159200983","0.215799545192199","0.207607600601044","0.205967477522447","0.193829129839233","0.181875849470101","0.175801027292893","0.169668648571948","0.158501980805319","0.152065845512534","0.15145144129848","0.142546432436014","0.149732590167553","0.147704046638311","0.152213262270587","0.155834899024665","0.160540142899129","","","",
"Barbados","BRB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.447644909279809","0.506195633407461","0.425925193850342","0.469919101376392","0.30271512861536","0.321994447809595","0.312232902786929","0.310772462372796","0.374655259401378","0.390280351521672","0.358686389113468","0.369175558540772","0.362906648050028","0.359685250329981","0.352187272841449","0.343071269581264","0.319258040000109","0.3039561144753","0.352806853688767","0.364067578512374","0.327813895718894","0.33083330480312","0.311509345547333","0.301944188789304","0.261045490199612","","","",
"Brunei Darussalam","BRN","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.437323963779692","0.35177896307501","0.322420376992647","0.299177862451379","0.268290246074596","0.256652493923268","0.24912640069029","0.258325555145066","0.26760215650444","0.18973051927739","0.217425044748115","0.1978862552886","0.182285812677355","0.182115092309025","0.191987118895732","0.185556126971193","0.167514857644731","0.281977699533045","0.305617353858517","0.266178504993691","0.267423198612802","0.298504431777784","0.289575065618845","0.235051116300252","0.276569696672387","","","",
"Bhutan","BTN","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.158947530447758","0.225066440431321","0.243370750366488","0.197529635214498","0.213774644842623","0.229291417025539","0.257226255438907","0.313171581498051","0.284308991213551","0.261813172251407","0.246230815964881","0.216311439487035","0.208892045760101","0.171872959118914","0.128821316670538","0.149795009237288","0.134754597262128","0.111308352322325","0.111988905529506","0.0960521360878199","0.106563275425777","0.145521039726745","0.151630901787234","0.164434240181105","0.166477349142374","","","",
